customer_id,name,phone,email,city
1,Ela Deep,5112751089,nrama@gala.info,Patiala
2,Aradhya Dewan,5048512856,ychada@lalla.info,Meerut
3,Dhruv Garg,8243771395,madhup17@mander.com,Panihati
4,Farhan Balasubramanian,7966171179,zarakunda@yahoo.com,Satara
5,Shalv Sachdev,7037394781,nirvaan98@khatri.com,Yamunanagar
6,Neysa Kulkarni,4708475315,settyveer@seshadri.biz,Gaya
7,Farhan Chhabra,9527049417,varkeydhruv@yahoo.com,Ujjain
8,Alisha Vala,7217932339,pchopra@gmail.com,Kirari Suleman Nagar
9,Hiran Verma,9168961931,korpalpihu@gmail.com,Guwahati
10,Raunak Reddy,1276416279,sahilsahota@saini.com,Satara
11,Renee Chaudhary,2731400747,samraindrans@gill.com,Latur
12,Diya Grover,0821445528,hrishita55@lad.com,Ujjain
13,Amira Dalal,8474932488,nhayre@hotmail.com,Hajipur
14,Riaan Bal,8656562213,fsama@hotmail.com,Khammam
15,Mannat Yadav,2624022356,svarghese@som.com,Bijapur
16,Shanaya Rout,8673675505,badamibaiju@shah-kapadia.com,Fatehpur
17,Elakshi Grover,7559989792,adira77@bhasin-dar.com,Panvel
18,Tara Sengupta,2489189802,shasamaira@atwal.com,Dhule
19,Navya Chad,4955278621,abram63@yahoo.com,Loni
20,Divyansh Sachdev,2733666070,manjariraju@gmail.com,Raipur
21,Veer Vaidya,0731522100,rohan19@buch.com,Dehri
22,Zaina Magar,6582622004,aroraira@wable.com,Tinsukia
23,Kimaya Sastry,6054083577,rania97@yahoo.com,Bhilwara
24,Adira Singhal,8632781707,rsinha@chokshi-wable.com,Agra
25,Kanav Brar,9657930656,sairabumb@gmail.com,Noida
26,Himmat Roy,2088594540,zraval@sachar-chhabra.com,Dewas
27,Kartik Virk,1555916965,bathstuvan@hotmail.com,Ambala
28,Mishti Vala,4862701450,gmagar@hotmail.com,Berhampore
29,Mamooty Madan,3175316391,shamik61@gopal.net,Maheshtala
30,Jayesh Sankar,2668363682,gardeneelofar@walla-anne.com,Anand
31,Kanav Tiwari,5124588385,anaya08@sibal.org,Satna
32,Kanav Grewal,2676877040,ychanda@gmail.com,Jhansi
33,Manikya Gokhale,7431652013,indrajit11@gmail.com,Nangloi Jat
34,Jayan Bassi,3096321180,trishabhattacharyya@hotmail.com,Bhopal
